prefix	as_path	atomic_aggregate	aggregator	communities	timestamp	origin	collector	prepending	loops	ixps	gao_rexford	new_asns	path_poisoning	country	start_time	end_time	event_number	event_type	url	hijack_detected_as_path	hijack_detected_by_bgpmon_peers	hijack_detected_origin_name	hijack_detected_origin_number	hijack_expected_origin_name	hijack_expected_origin_number	hijack_expected_prefix	hijack_more_specific_prefix	leak_detected_by_bgpmon_peers	leak_example_as_path	leaked_prefix	leaked_to_name	leaked_to_number	leaker_as_name	leaker_as_number	leak_origin_as_name	leak_origin_as_number	outage_as_name	outage_as_number	outage_number_prefixes_affected	outage_percent_prefixes_affected	roa_validity	prefix_id	block_id	prefix_block_id	url_1	source
1.10.140.0/24	{22742,6939,4651,23969}				1610989087	23969	22742	0	0	0	0	0	0																												1	394	0	394	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.141.0/24	{22742,6939,4651,23969}				1611021986	23969	22742	0	0	0	0	0	0																												1	395	0	395	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.143.0/24	{22742,6939,4651,23969}				1610989087	23969	22742	0	0	0	0	0	0																												1	396	0	396	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.144.0/20	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	397	0	397	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.144.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	398	0	398	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.145.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	399	0	399	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.146.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	400	0	400	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.147.0/24	{22742,6939,38040,23969}				1609372291	23969	22742	0	0	0	0	0	0																												1	401	0	401	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.148.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	402	0	402	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.149.0/24	{22742,6939,38040,23969}				1604610901	23969	22742	0	0	0	0	0	0																												1	403	0	403	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.150.0/24	{22742,6939,38040,23969}				1611087793	23969	22742	0	0	0	0	0	0																												1	404	0	404	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
1.10.151.0/24	{22742,6939,4651,23969}				1610989087	23969	22742	0	0	0	0	0	0																												1	405	0	405	/data/mrt_cache/local_files/2021_01_22.mrt	local_file
